player,position,club,team,minutes,minutes_90s,goals,assists,goals_per90,assists_per90,xg,xg_assist_per90,xg_per90,cards_yellow,cards_red,tackles_won,interceptions,blocked_passes,blocked_shots,clearances
Son Heung-min,FW,Tottenham,Korea Republic,360,4.0,0,1,0.0,0.25,0.4,0.24,0.11,0,0,2,2,2,0,0
Aleksandar Mitrović,FW,Fulham,Serbia,262,2.9,2,0,0.69,0.0,1.6,0.24,0.57,1,0,0,0,1,0,1
Gerson Torres,MF,Club Sport Herediano,Costa Rica,64,0.7,0,0,0.0,0.0,0.0,0.0,0.02,0,0,0,0,1,0,0
Juan Pablo Vargas,DF,Millonarios,Costa Rica,90,1.0,1,0,1.0,0.0,0.5,0.0,0.46,0,0,3,2,0,0,10
Kim Young-gwon,DF,Ulsan Hyundai,Korea Republic,350,3.9,1,0,0.26,0.0,0.8,0.05,0.19,1,0,2,3,1,2,11
Andreas Christensen,DF,Barcelona,Denmark,270,3.0,1,0,0.33,0.0,0.4,0.0,0.12,1,0,2,4,2,5,9
Axel Witsel,MF,Atlético Madrid,Belgium,270,3.0,0,0,0.0,0.0,0.0,0.02,0.01,0,0,2,4,4,1,6
Bryan Oviedo,DF,Real Salt Lake,Costa Rica,260,2.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0,5,3,2,1,7
Facundo Pellistri,MF,Manchester Utd,Uruguay,181,2.0,0,0,0.0,0.0,0.2,0.09,0.08,0,0,1,0,1,0,2
Gaël Ondoua,MF,Hannover 96,Cameroon,47,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,1,0,0
José Cifuentes,MF,Los Angeles FC,Ecuador,59,0.7,0,0,0.0,0.0,0.0,0.0,0.03,0,0,2,0,1,0,1
Daniel Kyereh,MF,Freiburg,Ghana,33,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,4
Marcus Rashford,FW,Manchester Utd,England,140,1.6,3,0,1.93,0.0,1.6,0.0,1.03,0,0,0,1,2,0,1
Karol Świderski,FW,Charlotte,Poland,45,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,0,0,0
Bamba Dieng,FW,Marseille,Senegal,100,1.1,1,0,0.9,0.0,0.5,0.05,0.45,0,0,1,0,2,0,0
Christian Eriksen,MF,Manchester Utd,Denmark,270,3.0,0,0,0.0,0.0,0.2,0.14,0.06,0,0,0,0,3,2,1
Rubin Colwill,MF,Cardiff City,Wales,10,0.1,0,0,0.0,0.0,0.0,0.0,0.21,0,0,0,0,1,0,0
Takumi Minamino,FW,Monaco,Japan,60,0.7,0,0,0.0,0.0,0.1,0.0,0.36,0,0,1,0,0,0,1
Kenneth Taylor,MF,Ajax,Netherlands,5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Marcus Thuram,FW,M'Gladbach,France,151,1.7,0,2,0.0,1.19,0.2,0.16,0.16,1,0,2,0,2,0,2
Thorgan Hazard,FW,Dortmund,Belgium,106,1.2,0,0,0.0,0.0,0.0,1.07,0.0,0,0,2,0,4,0,0
Ao Tanaka,MF,Düsseldorf,Japan,171,1.9,1,0,0.53,0.0,1.0,0.05,0.55,0,0,1,3,4,1,2
Federico Valverde,MF,Real Madrid,Uruguay,270,3.0,0,0,0.0,0.0,0.2,0.14,0.06,0,0,4,5,6,0,1
Pape Abou Cissé,DF,Olympiacos,Senegal,105,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,2,6
Rúben Neves,MF,Wolves,Portugal,268,3.0,0,0,0.0,0.0,0.1,0.01,0.03,1,0,1,3,2,1,5
Sardar Azmoun,FW,Leverkusen,IR Iran,126,1.4,0,0,0.0,0.0,0.9,0.05,0.67,0,0,0,0,0,0,1
Thomas Delaney,MF,Sevilla,Denmark,44,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
Denzel Dumfries,DF,Inter,Netherlands,479,5.3,1,2,0.19,0.38,0.4,0.06,0.08,2,1,5,7,4,1,6
Edouard Mendy,GK,Chelsea,Senegal,360,4.0,0,0,0.0,0.0,0.0,0.01,0.0,0,0,0,0,1,0,3
Jonas Hofmann,FW,M'Gladbach,Germany,30,0.3,0,0,0.0,0.0,0.3,0.16,0.82,0,0,0,0,2,0,0
Miloš Veljković,DF,Werder Bremen,Serbia,221,2.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,2,7
Simon Kjær,DF,Milan,Denmark,64,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0,1,2
Damian Szymański,MF,AEK Athens,Poland,29,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
Daniel Amartey,DF,Leicester City,Ghana,251,2.8,0,0,0.0,0.0,0.2,0.03,0.08,2,0,4,3,1,3,12
Jewison Bennette,MF,Sunderland,Costa Rica,103,1.1,0,0,0.0,0.0,0.0,0.0,0.04,0,0,0,0,2,0,0
Piero Hincapié,DF,Leverkusen,Ecuador,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4,2,2,0,9
Alireza Beiranvand,GK,Persepolis,IR Iran,109,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
Strahinja Pavlović,DF,RB Salzburg,Serbia,235,2.6,1,0,0.38,0.0,0.2,0.0,0.07,2,0,2,1,5,1,7
Ehsan Hajsafi,MF,AEK Athens,IR Iran,237,2.6,0,0,0.0,0.0,0.2,0.08,0.06,0,0,3,2,3,0,2
Kaoru Mitoma,MF,Brighton,Japan,165,1.8,0,1,0.0,0.55,0.1,0.83,0.05,0,0,2,2,3,1,5
Lee Jae-sung,MF,Mainz 05,Korea Republic,211,2.3,0,0,0.0,0.0,0.0,0.02,0.01,0,0,2,3,3,0,2
Munir,GK,Al-Wehda,Morocco,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Sadegh Moharrami,DF,Dinamo Zagreb,IR Iran,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,3
Agustín Canobbio,MF,Atl Paranaense,Uruguay,11,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
Hwang Hee-chan,MF,Wolves,Korea Republic,115,1.3,1,0,0.78,0.0,0.9,0.03,0.72,1,0,1,0,0,0,0
Saleh Al-Shehri,FW,Al-Hilal,Saudi Arabia,223,2.5,1,0,0.4,0.0,0.1,0.05,0.03,1,0,1,0,2,1,2
Stefan Mitrović,DF,Getafe,Serbia,35,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Homam Ahmed,DF,Al-Gharafa Sports Club,Qatar,262,2.9,0,0,0.0,0.0,0.0,0.01,0.0,1,0,2,2,0,0,1
Steven Berghuis,MF,Ajax,Netherlands,200,2.2,0,1,0.0,0.45,0.3,0.04,0.13,1,0,1,0,1,0,0
Ali Al-Bulaihi,DF,Al-Hilal,Saudi Arabia,216,2.4,0,0,0.0,0.0,0.0,0.0,0.0,1,0,2,3,0,1,1
Marko Livaja,FW,Hajduk Split,Croatia,241,2.7,1,1,0.37,0.37,0.8,0.03,0.31,0,0,2,1,1,0,1
Wayne Hennessey,GK,Nott'ham Forest,Wales,175,1.9,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Gio Reyna,FW,Dortmund,United States,53,0.6,0,0,0.0,0.0,0.1,0.28,0.1,0,0,0,0,1,0,0
Jakub Kiwior,DF,Spezia,Poland,355,3.9,0,0,0.0,0.0,0.0,0.0,0.01,1,0,1,4,2,2,15
Randal Kolo Muani,FW,Eint Frankfurt,France,182,2.0,1,0,0.49,0.0,1.1,0.0,0.65,0,0,5,1,1,0,1
